"Years bp","non-background Pb Flux (µg/m2/a)","11-yr median filtered estimated Lead Emissions (kt/a)"
2307.5,,0.151
2306.5,,0.12
2305.5,0.017,0.125
2304.5,0.047,0.125
2303.5,0.125,0.125
2302.5,0.015,0.125
2301.5,0.041,0.159
2300.5,0.051,0.193
2299.5,0.079,0.242
2298.5,0.182,0.306
2297.5,0.194,0.277
2296.5,0.099,0.33
2295.5,0.253,0.349
2294.5,0.276,0.349
2293.5,0.134,0.398
2292.5,0.113,0.349
2291.5,0.142,0.339
2290.5,0.223,0.349
2289.5,0.13,0.339
2288.5,,0.339
2287.5,,0.448
2286.5,,0.617
2285.5,,0.617
2284.5,,0.645
2283.5,1.687,0.947
2282.5,1.135,1.208
2281.5,0.28,0.947
2280.5,0.221,0.733
2279.5,0.246,0.71
2278.5,0.492,0.687
2277.5,0.618,0.687
2276.5,0.258,0.633
2275.5,0.299,0.602
2274.5,0.18,0.602
2273.5,0.056,0.577
2272.5,0.433,0.442
2271.5,0.097,0.442
2270.5,0.104,0.42
2269.5,0.235,0.42
2268.5,0.171,0.42
2267.5,0.169,0.577
2266.5,0.252,0.577
2265.5,0.171,0.617
2264.5,0.474,0.617
2263.5,0.269,0.661
2262.5,0.381,0.73
2261.5,0.312,0.73
2260.5,0.298,0.73
2259.5,0.185,0.748
2258.5,0.314,0.721
2257.5,0.499,0.721
2256.5,0.235,0.676
2255.5,0.261,0.608
2254.5,,0.608
2253.5,0.29,0.631
2252.5,0.14,0.599
2251.5,0.139,0.599
2250.5,0.148,0.583
2249.5,0.275,0.583
2248.5,0.254,0.623
2247.5,0.199,0.623
2246.5,0.273,0.668
2245.5,0.222,0.674
2244.5,0.284,0.686
2243.5,0.324,0.696
2242.5,0.48,0.696
2241.5,0.311,0.696
2240.5,0.28,0.704
2239.5,0.291,0.737
2238.5,0.376,0.778
2237.5,0.228,0.737
2236.5,0.193,0.7
2235.5,,0.7
2234.5,0.326,0.735
2233.5,0.678,0.694
2232.5,0.222,0.602
2231.5,0.257,0.632
2230.5,0.442,0.632
2229.5,0.309,0.63
2228.5,0.204,0.623
2227.5,0.234,0.623
2226.5,0.258,0.623
2225.5,0.186,0.623
2224.5,0.215,0.623
2223.5,0.254,0.623
2222.5,0.305,0.633
2221.5,0.236,0.633
2220.5,0.399,0.623
2219.5,0.503,0.724
2218.5,0.334,0.748
2217.5,0.341,0.783
2216.5,0.235,0.827
2215.5,0.176,0.827
2214.5,0.295,0.775
2213.5,0.375,0.775
2212.5,,0.784
2211.5,0.361,0.728
2210.5,0.299,0.809
2209.5,0.249,0.899
2208.5,0.467,0.899
2207.5,0.372,0.847
2206.5,0.214,0.886
2205.5,0.375,0.912
2204.5,0.579,0.912
